id,organizattionName,category,postedBy,createdTime,message,likesCount,commentsCount,shareCount
147207215344994_853314584734250,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-03T07:27:45+0000,,14,0,
147207215344994_853314498067592,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-03T07:27:34+0000,,21,1,
147207215344994_853273021405073,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-03T04:05:21+0000,"Good Morning Friends, Ensure safety on roads, follow traffic rules.
ಶುಭೋದಯ ಗೆಳಯರೇ,ರಸ್ತೆಗಳಲ್ಲಿ ಸುರಕ್ಷತೆಗಾಗಿ, ಸಂಚಾರ ನಿಯಮಗಳನ್ನು ಅನುಸರಿಸಿ",232,3,21
147207215344994_852990841433291,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T11:41:04+0000,Trees uprooted due to rain at the following places near Arvind super bazaar jn at Banashankari and prime rose road.,36,2,6
147207215344994_852972688101773,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T10:08:47+0000,"Dear Friends, 
Chances of drizzling/ raining in all part of the Bengaluru city, till late night. Do not park your vehicles under the tree. Use wipers & indicators without fail. Plan your journey accordingly. Call 103 - traffic helpline, for assistance. 
Plz report if its raining in your area. Will help other commuters to get alert.",973,104,145
147207215344994_852960974769611,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T09:20:26+0000,"IPL T-20 match on TODAY :
TRAFFIC RESTRICTIONS AROUND CHINNASWAMY CRICKET STADIUM:
Parking restriction from 1400 to 2330 hrs:
> Queen's Road between CTO and Queen's circle both side.
> MG Road Anil Kumble Circle to Queen's Circle both side.
> Link road from MG Road to Cubbon Road.
> Raj Bhavan road,T Chowdaiah Road and Race Course Road.
> Central Street both sides.
> Cubbon Road from BRV Circle to Dickenson Road Junction
both sides of the road.
> Cubbon Road Kmaraj Road Jn. to dickenson Road Jn. except BMTC Buses rest all type of vehicles parking banned.
> St. Marks Road from SBI Circle to Ashirvaadam Circle.
> Museum Road from MG Road to St. Marks Road and Residency Road.
> Kasturba Road from Queen's Circle to Hudson Circle and Malya Road from Siddalingaiah circle to RRMR junction.
> Cubbon Park inside King's road, in-front press club and Bala Bhavan NO Parking.
> Queen's Circle to Lavelle road Grant junction.
PARKING ALLOWED IN THE FOLLOWING PLACE:
> St. Joseph Indian High School Ground and UB City.
> KSCA members can park their vehicle in St. Mark Cathedral Church compound and Bowring Institute.
> Shivaji Nagar Bus stand 1st floor parking place.
GATE 1 to 9 is o Queen's Road
GATE 12 to 17 is on Cubbon Road
GATE 18 to 21 is on Link Road.",60,1,15
147207215344994_852939921438383,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T07:33:07+0000,"""The all new BTP Traffic Info Android App is now available for download. A completely redesigned, faster and better app with more features is available for devices running Android 4.2 and above. 

Whats new in this release?
1. New material design (Lollipop) UI
2. Police station search
3. Emergency helpline numbers
4. Share traffic updates using whatsapp and other android apps
5. Performance improvements

Playstore Link : https://play.google.com/store/apps/details?id=com.kabhos.android.apps.fb.btp""",135,14,19
147207215344994_852937681438607,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T07:21:09+0000,Useful Newspaper articles.,121,3,8
147207215344994_852914354774273,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T04:55:45+0000,"video link shared by Deepika Bhandari:
Titled ‘Ready Steady Slow‘, the video touches upon important issues like wearing a helmet, making way for ambulance, respecting traffic signals, driving within speed limits, and following road signs.
Accidents hurt — safety doesn't.
http://www.storypick.com/cute-short-film-2-pizza-delivery-guys-important-message-us/",186,1,59
147207215344994_852913601441015,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T04:52:07+0000,"IPL T-20 match on TODAY :
TRAFFIC RESTRICTIONS AROUND CHINNASWAMY CRICKET STADIUM:
Parking restriction from 1400 to 2330 hrs:
> Queen's Road between CTO and Queen's circle both side.
> MG Road Anil Kumble Circle to Queen's Circle both side.
> Link road from MG Road to Cubbon Road.
> Raj Bhavan road,T Chowdaiah Road and Race Course Road.
> Central Street both sides.
> Cubbon Road from BRV Circle to Dickenson Road Junction
both sides of the road.
> Cubbon Road Kmaraj Road Jn. to dickenson Road Jn. except BMTC Buses rest all type of vehicles parking banned.
> St. Marks Road from SBI Circle to Ashirvaadam Circle.
> Museum Road from MG Road to St. Marks Road and Residency Road.
> Kasturba Road from Queen's Circle to Hudson Circle and Malya Road from Siddalingaiah circle to RRMR junction.
> Cubbon Park inside King's road, in-front press club and Bala Bhavan NO Parking.
> Queen's Circle to Lavelle road Grant junction.
PARKING ALLOWED IN THE FOLLOWING PLACE:
> St. Joseph Indian High School Ground and UB City.
> KSCA members can park their vehicle in St. Mark Cathedral Church compound and Bowring Institute.
> Shivaji Nagar Bus stand 1st floor parking place.
GATE 1 to 9 is o Queen's Road
GATE 12 to 17 is on Cubbon Road
GATE 18 to 21 is on Link Road.",71,1,7
147207215344994_852910584774650,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T04:37:20+0000,"Peak hour at Goraguntepalya Jn from outer ring rd, Basavanagudi towards V.V.puram on K.R.road and also at Silkboard Jn from Bommanahalli",19,0,1
147207215344994_852893601443015,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T03:13:52+0000,"Early peak hr on Tumkur rd @ Jalahalli cross Jn & at Shivshankar Crl from Basappa Crl,& also from Domlur towards Kormangala on inner ring rd",33,0,
147207215344994_852891308109911,Bengaluru Traffic Police,Government organization,Bengaluru Traffic Police,2015-05-02T03:02:12+0000,"ಶುಭ ದಿನ ಗೆಳಯರೇ, ಯಾರು ಸಂತೋಷದಿಂದ ಇರುತ್ತಾರೋ, ಅವರು ಇತರರನ್ನು ಸಂತೋಷದಿಂದಿರಿಸುತ್ತಾರೆ :)
GOOD MORNING FRIENDS, HAVE A NICE DAY
Whoever is happy will make others happy too :)",828,14,32
